FMTNAME,START,END,LABEL,MIN,MAX,DEFAULT,LENGTH,FUZZ,TYPE,HLO,DATATYPE
ACCULT,1,1,1: Low,1,40,13,13,1E-12,N,,
ACCULT,2,2,2: High,1,40,13,13,1E-12,N,,
ACCULT,3,3,3: Bicultural,1,40,13,13,1E-12,N,,
ACCULT2F,1,1,1: Low,1,40,21,21,1E-12,N,,
ACCULT2F,2,2,2: Bicultural or High,1,40,21,21,1E-12,N,,
ACTIVITYF,1,1,1: Low physical activity,1,40,29,29,1E-12,N,,
ACTIVITYF,2,2,2: Moderate physical activity,1,40,29,29,1E-12,N,,
ACTIVITYF,3,3,3: High physical activity,1,40,29,29,1E-12,N,,
AGECAT,1,1,1: 34-50,1,40,8,8,1E-12,N,,
AGECAT,2,2,2: 51-65,1,40,8,8,1E-12,N,,
AGECAT,3,3,3: 66+,1,40,8,8,1E-12,N,,
AGECAT2F,1,1,1: 34-44,1,40,8,8,1E-12,N,,
AGECAT2F,2,2,2: 45-54,1,40,8,8,1E-12,N,,
AGECAT2F,3,3,3: 55-64,1,40,8,8,1E-12,N,,
AGECAT2F,4,4,4: 65-74,1,40,8,8,1E-12,N,,
AGECAT2F,5,5,5: 75-87,1,40,8,8,1E-12,N,,
AGEGRP2F,1,1,1: 34-44,1,40,8,8,1E-12,N,,
AGEGRP2F,2,2,2: 45-54,1,40,8,8,1E-12,N,,
AGEGRP2F,3,3,3: 55-64,1,40,8,8,1E-12,N,,
AGEGRP2F,4,4,4: 65-74,1,40,8,8,1E-12,N,,
AGEGRP2F,5,5,5: 75+,1,40,8,8,1E-12,N,,
AGEGRPF,1,1,1: < 40,1,40,8,8,1E-12,N,,
AGEGRPF,2,2,2: 40-49,1,40,8,8,1E-12,N,,
AGEGRPF,3,3,3: 50-59,1,40,8,8,1E-12,N,,
AGEGRPF,4,4,4: 60-69,1,40,8,8,1E-12,N,,
AGEGRPF,5,5,5: 70+,1,40,8,8,1E-12,N,,
AGP,1,1,1:30-39,1,40,7,7,1E-12,N,,
AGP,2,2,2:40-49,1,40,7,7,1E-12,N,,
AGP,3,3,3:50-59,1,40,7,7,1E-12,N,,
AGP,4,4,4:60-79,1,40,7,7,1E-12,N,,
ALCCATF,1,1,1: Low alcohol consumption,1,40,31,31,1E-12,N,,
ALCCATF,2,2,2: Moderate alcohol consumption,1,40,31,31,1E-12,N,,
ALCCATF,3,3,3: High alcohol consumtpion,1,40,31,31,1E-12,N,,
BMICF,1,1,1: 0 <= BMI < 25,1,40,17,17,1E-12,N,,
BMICF,2,2,2: 25 <= BMI < 30,1,40,17,17,1E-12,N,,
BMICF,3,3,3: BMI >=30,1,40,17,17,1E-12,N,,
DEGCATF,1,1,1. Less than High School,1,40,37,37,1E-12,N,,
DEGCATF,2,2,2. High School or GED,1,40,37,37,1E-12,N,,
DEGCATF,3,3,3. Tech Training or Associates Degree,1,40,37,37,1E-12,N,,
DEGCATF,4,4,4. Bachelors Degree,1,40,37,37,1E-12,N,,
DEGCATF,5,5,5. Masters or Doctorate,1,40,37,37,1E-12,N,,
DEGREECAT,1,1,1: Less than High School,1,40,29,29,1E-12,N,,
DEGREECAT,2,2,2: High School or GED,1,40,29,29,1E-12,N,,
DEGREECAT,3,3,3: Some college,1,40,29,29,1E-12,N,,
DEGREECAT,4,4,4: College or advanced degree,1,40,29,29,1E-12,N,,
DIABSTAT,1,1,1: FG < 100,1,40,34,34,1E-12,N,,
DIABSTAT,2,2,2: IFG: 100-109,1,40,34,34,1E-12,N,,
DIABSTAT,3,3,3: IFG 110-125,1,40,34,34,1E-12,N,,
DIABSTAT,4,4,4: IFG > 125 or Untreated Diabetes,1,40,34,34,1E-12,N,,
DIABSTAT,5,5,5: Treated Diabetes,1,40,34,34,1E-12,N,,
EDURECAT,1,1,1: Less than High School,1,40,29,29,1E-12,N,,
EDURECAT,2,2,2: High School or GED,1,40,29,29,1E-12,N,,
EDURECAT,3,3,3: Some college,1,40,29,29,1E-12,N,,
EDURECAT,4,4,4: College or advanced degree,1,40,29,29,1E-12,N,,
FASTINGF,1,1,1: Yes,1,40,38,38,1E-12,N,,
FASTINGF,2,2,2: No,1,40,38,38,1E-12,N,,
FASTINGF,3,3,"3: Discrepant, has caffeine or alcohol",1,40,38,38,1E-12,N,,
FG_3CAT,1,1,1:Normal,1,40,10,10,1E-12,N,,
FG_3CAT,2,2,2:Impaired,1,40,10,10,1E-12,N,,
FG_3CAT,3,3,3:Diabetic,1,40,10,10,1E-12,N,,
HBA1C3CATF,1,1,1: HbA1c >= 6.5,1,40,16,16,1E-12,N,,
HBA1C3CATF,2,2,2: HbA1c 5.7-6.4,1,40,16,16,1E-12,N,,
HBA1C3CATF,3,3,3: HbA1c <5.7,1,40,16,16,1E-12,N,,
HESCOREF,1,1,1: 0-1,1,40,6,6,1E-12,N,,
HESCOREF,2,2,2: 2-3,1,40,6,6,1E-12,N,,
HESCOREF,3,3,3: 4-7,1,40,6,6,1E-12,N,,
HISPOR2F,1,1,1: PR,1,40,13,13,1E-12,N,,
HISPOR2F,2,2,2: CA,1,40,13,13,1E-12,N,,
HISPOR2F,3,3,3: SA,1,40,13,13,1E-12,N,,
HISPOR2F,4,4,4: DR,1,40,13,13,1E-12,N,,
HISPOR2F,5,5,5: all others,1,40,13,13,1E-12,N,,
HISPORGF,1,1,1: Mexican,1,40,21,21,1E-12,N,,
HISPORGF,2,2,2: Puerto Rican,1,40,21,21,1E-12,N,,
HISPORGF,3,3,3: Cuban,1,40,21,21,1E-12,N,,
HISPORGF,4,4,4: Spanish,1,40,21,21,1E-12,N,,
HISPORGF,5,5,5: Central American,1,40,21,21,1E-12,N,,
HISPORGF,6,6,6: South American,1,40,21,21,1E-12,N,,
HISPORGF,7,7,7: Dominican Republic,1,40,21,21,1E-12,N,,
HISPORGF,8,8,8: Other,1,40,21,21,1E-12,N,,
HISPORGF,9,9,9: Two or more,1,40,21,21,1E-12,N,,
HLTHLITRCYF,0,0,0: Inadequate,1,40,13,13,1E-12,N,,
HLTHLITRCYF,1,1,1: Marginal,1,40,13,13,1E-12,N,,
HLTHLITRCYF,2,2,2: Adequate,1,40,13,13,1E-12,N,,
HRSSLEEPCATF,1,1,1: <6.5 HR,1,40,13,13,1E-12,N,,
HRSSLEEPCATF,2,2,2: 6.5-8.5 HR,1,40,13,13,1E-12,N,,
HRSSLEEPCATF,3,3,3: >8.5 HR,1,40,13,13,1E-12,N,,
HRSSLEEPCATFB,1,1,1: <6.5 HR,1,40,15,15,1E-12,N,,
HRSSLEEPCATFB,2,2,2: 6.5- <8.0 HR,1,40,15,15,1E-12,N,,
HRSSLEEPCATFB,3,3,3: >8.0 HR,1,40,15,15,1E-12,N,,
INCCATF,1,1,"1: <=$60,000",1,40,17,17,1E-12,N,,
INCCATF,2,2,"2: $6,001-$30,000",1,40,17,17,1E-12,N,,
INCCATF,3,3,"3: >$30,000",1,40,17,17,1E-12,N,,
INCG,1,1,"1:<$20,000",1,40,19,19,1E-12,N,,
INCG,2,2,"2:$20,000 - $49,999",1,40,19,19,1E-12,N,,
INCG,3,3,"3:$50,000 - $69,999",1,40,19,19,1E-12,N,,
INCG,4,4,"4:>$70,000",1,40,19,19,1E-12,N,,
INCOME,1,1,"1:<$10,000",1,40,19,19,1E-12,N,,
INCOME,2,2,"2:$10,000 - $19,999",1,40,19,19,1E-12,N,,
INCOME,3,3,"3:$20,000 - $29,999",1,40,19,19,1E-12,N,,
INCOME,4,4,"4:$30,000 - $39,999",1,40,19,19,1E-12,N,,
INCOME,5,5,"5:$40,000 - $49,999",1,40,19,19,1E-12,N,,
INCOME,6,6,"6:$50,000 - $59,999",1,40,19,19,1E-12,N,,
INCOME,7,7,"7:$60,000 - $69,999",1,40,19,19,1E-12,N,,
INCOME,8,8,"8:>$70,000",1,40,19,19,1E-12,N,,
INCOMEIII,1,1,"1:<$30,000",1,40,21,21,1E-12,N,,
INCOMEIII,2,2,"2:$30,000 - $59,999",1,40,21,21,1E-12,N,,
INCOMEIII,3,3,"3:>=$60,000 - $59,999",1,40,21,21,1E-12,N,,
INCRECAT,1,1,"1: < $20,000",1,40,20,20,1E-12,N,,
INCRECAT,2,2,"2: $20,000 - $49,999",1,40,20,20,1E-12,N,,
INCRECAT,3,3,"$50,000+",1,40,20,20,1E-12,N,,
INC_Q,1,1,"1:<$10,000",1,40,19,19,1E-12,N,,
INC_Q,2,2,"2:$10,000 - $29,999",1,40,19,19,1E-12,N,,
INC_Q,3,3,"3:$30,000 - $59,999",1,40,19,19,1E-12,N,,
INC_Q,4,4,"4:>$60,000",1,40,19,19,1E-12,N,,
INS,1,1,private,1,40,10,10,1E-12,N,,
INS,2,2,government,1,40,10,10,1E-12,N,,
INS,3,3,none,1,40,10,10,1E-12,N,,
INSCAT,1,1,1: Private insurance only,1,40,25,25,1E-12,N,,
INSCAT,2,2,2: Public insurance,1,40,25,25,1E-12,N,,
INSCAT,3,3,3: Other,1,40,25,25,1E-12,N,,
INS_4CAT,1,1,1:Private only,1,40,20,20,1E-12,N,,
INS_4CAT,2,2,2:Private and public,1,40,20,20,1E-12,N,,
INS_4CAT,3,3,3:Public only,1,40,20,20,1E-12,N,,
INS_4CAT,4,4,4:None,1,40,20,20,1E-12,N,,
INTCONF,0,0,0: No internet connection,1,40,25,25,1E-12,N,,
INTCONF,1,1,1: Dial-up,1,40,25,25,1E-12,N,,
INTCONF,2,2,2: Fiber Optic,1,40,25,25,1E-12,N,,
INTCONF,3,3,3: DSL,1,40,25,25,1E-12,N,,
INTCONF,4,4,4: Cable,1,40,25,25,1E-12,N,,
INTCONF,5,5,5: Satellite Wireless,1,40,25,25,1E-12,N,,
INTCONF,6,6,6: Other,1,40,25,25,1E-12,N,,
INTSRFQF,0,0,0: Never,1,40,23,23,1E-12,N,,
INTSRFQF,1,1,1: About once a week,1,40,23,23,1E-12,N,,
INTSRFQF,2,2,2: About once a month,1,40,23,23,1E-12,N,,
INTSRFQF,3,3,3: Several times a year,1,40,23,23,1E-12,N,,
L,1,1,1: English,1,40,10,10,1E-12,N,,
L,2,2,2: Spanish,1,40,10,10,1E-12,N,,
MEDSIX,1,1,1: biguanides only,1,40,22,22,1E-12,N,,
MEDSIX,2,2,2: insulin only,1,40,22,22,1E-12,N,,
MEDSIX,3,3,3: biguanide & insulin,1,40,22,22,1E-12,N,,
MEDSIX,4,4,4: biguanide & sulfon,1,40,22,22,1E-12,N,,
MEDSIX,5,5,5: other DM med,1,40,22,22,1E-12,N,,
MEDSIX,6,6,6: not on DM med,1,40,22,22,1E-12,N,,
MENO,1,1,1: Pre/Peri-menopause,1,40,21,21,1E-12,N,,
MENO,2,2,2: Post-menopause,1,40,21,21,1E-12,N,,
MENO,3,3,3: Other,1,40,21,21,1E-12,N,,
MENOF,1,1,1: Pre-menopausal,1,40,18,18,1E-12,N,,
MENOF,2,2,2: Peri-menopausal,1,40,18,18,1E-12,N,,
MENOF,3,3,3: Post-menopausal,1,40,18,18,1E-12,N,,
MENOF,4,4,4: Surgical,1,40,18,18,1E-12,N,,
MENOF,5,5,5: Hormones,1,40,18,18,1E-12,N,,
MMS,1,1,mild,1,40,8,8,1E-12,N,,
MMS,2,2,moderate,1,40,8,8,1E-12,N,,
MMS,3,3,severe,1,40,8,8,1E-12,N,,
NMY,1,1,no,1,40,5,5,1E-12,N,,
NMY,2,2,maybe,1,40,5,5,1E-12,N,,
NMY,3,3,yes,1,40,5,5,1E-12,N,,
NUMPREGCATF,1,1,1: 0 pregnancies,1,40,18,18,1E-12,N,,
NUMPREGCATF,2,2,2: 1-3 pregnancies,1,40,18,18,1E-12,N,,
NUMPREGCATF,3,3,3: 4-6 pregnancies,1,40,18,18,1E-12,N,,
NUMPREGCATF,4,4,4: 7-9 pregnancies,1,40,18,18,1E-12,N,,
NUMPREGCATF,5,5,5: 10+ pregnancies,1,40,18,18,1E-12,N,,
OCCU,1,1,"1: Management, Professional, and Related Occupations",1,84,84,84,1E-12,N,,
OCCU,2,2,2: Service Occupations,1,84,84,84,1E-12,N,,
OCCU,3,3,3: Sales and Office Occupations,1,84,84,84,1E-12,N,,
OCCU,4,4,"4: Manual labor, construction, maintenance, farming, production, transportation, etc",1,84,84,84,1E-12,N,,
OCCU,5,5,5: Never worked,1,84,84,84,1E-12,N,,
OCCU,9,9,9: Missing,1,84,84,84,1E-12,N,,
OCCUGRP,1,1,"1: Management, Professional, and Related Occupations",1,64,64,64,1E-12,N,,
OCCUGRP,2,2,2: Service Occupations,1,64,64,64,1E-12,N,,
OCCUGRP,3,3,3: Sales and Office Occupations,1,64,64,64,1E-12,N,,
OCCUGRP,4,4,"4: Farming, Fishing, and Forestry Occupations",1,64,64,64,1E-12,N,,
OCCUGRP,5,5,"5: Construction, Extraction, Maintenance, and Repair Occupations",1,64,64,64,1E-12,N,,
OCCUGRP,6,6,"6: Production, Transportation, and Material Moving Occupations",1,64,64,64,1E-12,N,,
OCCUGRP,7,7,7: Never worked,1,64,64,64,1E-12,N,,
OCCUGRP,9,9,9: Missing,1,64,64,64,1E-12,N,,
OCCUGRPF,1,1,"1: Management, Professional, and Related Occupations",1,52,52,52,1E-12,N,,
OCCUGRPF,2,2,2: Service Occupations,1,52,52,52,1E-12,N,,
OCCUGRPF,3,3,3: Sales and Office Occupations,1,52,52,52,1E-12,N,,
OCCUGRPF,4,4,"4,5,6: Farming, Construction, Production combined",1,52,52,52,1E-12,N,,
OCCUGRPF,7,7,7: Never worked,1,52,52,52,1E-12,N,,
OCCUGRPF,9,9,9: Missing,1,52,52,52,1E-12,N,,
OCCURECAT,1,1,"1: Management, Professional, Sales and Office Occupations",1,84,84,84,1E-12,N,,
OCCURECAT,2,2,2: Service Occupations,1,84,84,84,1E-12,N,,
