FMTNAME,START,END,LABEL,LENGTH,TYPE,HLO
ACCULT,1,1,1: Low,13,N,
ACCULT,2,2,2: High,13,N,
ACCULT,3,3,3: Bicultural,13,N,
ACCULT2F,1,1,1: Low,21,N,
ACCULT2F,2,2,2: Bicultural or High,21,N,
ACTIV,1,1,<100,7,N,
ACTIV,2,2,100-250,7,N,
ACTIV,3,3,>250,7,N,
ACTIVITYF,1,1,1: Low physical activity,29,N,
ACTIVITYF,2,2,2: Moderate physical activity,29,N,
ACTIVITYF,3,3,3: High physical activity,29,N,
AGECAT,1,1,1: 34-50,8,N,
AGECAT,2,2,2: 51-65,8,N,
AGECAT,3,3,3: 66+,8,N,
AGECAT10F,1,1,1: <35 y,10,N,
AGECAT10F,2,2,2: 35-39 y,10,N,
AGECAT10F,3,3,3: 40-44 y,10,N,
AGECAT10F,4,4,4: 45-49 y,10,N,
AGECAT10F,5,5,5: 50-54 y,10,N,
AGECAT10F,6,6,6: 55-59 y,10,N,
AGECAT10F,7,7,7: 60-64 y,10,N,
AGECAT10F,8,8,8: 65-69 y,10,N,
AGECAT10F,9,9,9: 70-74 y,10,N,
AGECAT10F,10,10,10: 75+ y,10,N,
AGECAT2F,1,1,1: 34-44,8,N,
AGECAT2F,2,2,2: 45-54,8,N,
AGECAT2F,3,3,3: 55-64,8,N,
AGECAT2F,4,4,4: 65-74,8,N,
AGECAT2F,5,5,5: 75-87,8,N,
AGEGRP2F,1,1,1: 34-44,8,N,
AGEGRP2F,2,2,2: 45-54,8,N,
AGEGRP2F,3,3,3: 55-64,8,N,
AGEGRP2F,4,4,4: 65-74,8,N,
AGEGRP2F,5,5,5: 75+,8,N,
AGEGRP5F,1,1,1: <40 y,10,N,
AGEGRP5F,2,2,2: 40-49 y,10,N,
AGEGRP5F,3,3,3: 50-59 y,10,N,
AGEGRP5F,4,4,4: 60-69 y,10,N,
AGEGRP5F,5,5,5: 70+ y,10,N,
AGEGRPF,1,1,1: < 40,8,N,
AGEGRPF,2,2,2: 40-49,8,N,
AGEGRPF,3,3,3: 50-59,8,N,
AGEGRPF,4,4,4: 60-69,8,N,
AGEGRPF,5,5,5: 70+,8,N,
AGEGRPII,1,1,30-39,5,N,
AGEGRPII,2,2,40-49,5,N,
AGEGRPII,3,3,50-59,5,N,
AGEGRPII,4,4,60-79,5,N,
AGETRES,1,1,<45,5,N,
AGETRES,2,2,45-64,5,N,
AGETRES,3,3,65+,5,N,
AGP,1,1,1:30-39,7,N,
AGP,2,2,2:40-49,7,N,
AGP,3,3,3:50-59,7,N,
AGP,4,4,4:60-69,7,N,
AGP,5,5,5:70-79,7,N,
ALCCATF,1,1,1: Low alcohol consumption,31,N,
ALCCATF,2,2,2: Moderate alcohol consumption,31,N,
ALCCATF,3,3,3: High alcohol consumtpion,31,N,
AUACAT3AF,1,1,1: None/Mild (0-7),18,N,
AUACAT3AF,2,2,2: Moderate (8-19),18,N,
AUACAT3AF,3,3,3: Severe (20+),18,N,
AUACAT3BF,1,1,1: None (0),23,N,
AUACAT3BF,2,2,2: Mild (1-7),23,N,
AUACAT3BF,3,3,3: Moderate/Severe (8+),23,N,
AUACAT4F,1,1,1: None (0),18,N,
AUACAT4F,2,2,2: Mild (1-7),18,N,
AUACAT4F,3,3,3: Moderate (8-19),18,N,
AUACAT4F,4,4,4: Severe (20+),18,N,
BATCH_2CATF,1,1,2006,9,N,
BATCH_2CATF,2,2,2007-2010,9,N,
BMICF,1,1,1: 0 <= BMI < 25,17,N,
BMICF,2,2,2: 25 <= BMI < 30,17,N,
BMICF,3,3,3: BMI >=30,17,N,
BMIGP,1,1,<25,5,N,
BMIGP,2,2,25-29,5,N,
BMIGP,3,3,>=30,5,N,
CAPCAT,1,1,1:<=$6K,13,N,
CAPCAT,2,2,2:$6K+ to 30K,13,N,
CAPCAT,3,3,3:>$30k,13,N,
CATCOUNT,1,1,None,4,N,
CATCOUNT,2,2,1,4,N,
CATCOUNT,3,3,2,4,N,
CATCOUNT,4,4,3+,4,N,
CATCOUNTII,1,1,None,4,N,
CATCOUNTII,2,2,1-2,4,N,
CATCOUNTII,3,3,3+,4,N,
CATCOUNTIII,1,1,None,4,N,
CATCOUNTIII,2,2,1-4,4,N,
CATCOUNTIII,3,3,5+,4,N,
CHOLSTAT,1,1,Treated,15,N,
CHOLSTAT,2,2,Untreated,15,N,
CHOLSTAT,3,3,No Dyslipidemia,15,N,
COMMCRF,1,1,Free care,15,N,
COMMCRF,2,2,Subsidized care,15,N,
COMMCRF,3,3,No subsidy,15,N,
CPSI_SYMPTOMF,1,1,0 <= cpsi_pu < 9.5,21,N,
CPSI_SYMPTOMF,2,2,9.5 <= cpsi_pu < 18.5,21,N,
CPSI_SYMPTOMF,3,3,cpsi_pu >= 18.5,21,N,
CVDDIAB,1,1,CVD,19,N,
CVDDIAB,2,2,Diabetes (any type),19,N,
CVDDIAB,3,3,Neither,19,N,
DEGCATF,1,1,1. Less than High School,37,N,
DEGCATF,2,2,2. High School or GED,37,N,
DEGCATF,3,3,3. Tech Training or Associates Degree,37,N,
DEGCATF,4,4,4. Bachelors Degree,37,N,
DEGCATF,5,5,5. Masters or Doctorate,37,N,
DEGREECAT,1,1,1: Less than High School,29,N,
DEGREECAT,2,2,2: High School or GED,29,N,
DEGREECAT,3,3,3: Some college,29,N,
DEGREECAT,4,4,4: College or advanced degree,29,N,
DIABSTAT,1,1,1: FG < 100,34,N,
DIABSTAT,2,2,2: IFG: 100-109,34,N,
DIABSTAT,3,3,3: IFG 110-125,34,N,
DIABSTAT,4,4,4: IFG > 125 or Untreated Diabetes,34,N,
DIABSTAT,5,5,5: Treated Diabetes,34,N,
DRKCAT,1,1,None,7,N,
DRKCAT,2,2,<1/day,7,N,
DRKCAT,3,3,1-3/day,7,N,
DRKCAT,4,4,3+/day,7,N,
DZBIG,1,1,Any HBP CVD DIABEVER,20,N,
DZBIG,2,2,None,20,N,
DZCAT,1,1,None,9,N,
DZCAT,2,2,1 comorb,9,N,
DZCAT,3,3,2 comorb,9,N,
DZCAT,4,4,3+ comorb,9,N,
DZCATD,1,1,None,9,N,
DZCATD,2,2,1 comorb,9,N,
DZCATD,3,3,2 comorb,9,N,
DZCATD,4,4,3+ comorb,9,N,
DZCATF,1,1,None,9,N,
DZCATF,2,2,1 comorb,9,N,
DZCATF,3,3,2 comorb,9,N,
DZCATF,4,4,3+ comorb,9,N,
DZCATP,1,1,None,9,N,
DZCATP,2,2,1 comorb,9,N,
DZCATP,3,3,2+ comorb,9,N,
EDCCATF,1,1,1: IIEF-5 22+,15,N,
EDCCATF,2,2,2: IIEF-5 17-21,15,N,
EDCCATF,3,3,3: IIEF-5 <17,15,N,
EDURECAT,1,1,1: Less than High School,29,N,
EDURECAT,2,2,2: High School or GED,29,N,
EDURECAT,3,3,3: Some college,29,N,
EDURECAT,4,4,4: College or advanced degree,29,N,
ELECTDEV_1F,1,1,No,8,N,
ELECTDEV_1F,2,2,Yes,8,N,
ELECTDEV_1F,3,3,Not sure,8,N,
FASTINGF,1,1,1: Yes,38,N,
FASTINGF,2,2,2: No,38,N,
FASTINGF,3,3,"3: Discrepant, has caffeine or alcohol",38,N,
FAT1F,0,0,0: Not weak at all,18,N,
FAT1F,10,10,10: Very weak,18,N,
FAT2F,0,0,0: Not sleepy at all,20,N,
FAT2F,10,10,10: Very sleepy,20,N,
FAT3F,0,0,0: Not lively at all,20,N,
FAT3F,10,10,10: Very lively,20,N,
FAT4F,0,0,0: Not tired at all,19,N,
FAT4F,10,10,10: Very tired,19,N,
FAT5F,0,0,0: No energy,18,N,
FAT5F,10,10,10: Very energetic,18,N,
FG_3CAT,1,1,1:Normal,10,N,
FG_3CAT,2,2,2:Impaired,10,N,
FG_3CAT,3,3,3:Diabetic,10,N,
FRSCAT,1,1,<0.075,14,N,
FRSCAT,2,2,0.075 to <0.15,14,N,
FRSCAT,3,3,>=0.15,14,N,
FRSCATR,1,1,<0.10,13,N,
FRSCATR,2,2,0.10 to <0.20,13,N,
FRSCATR,3,3,>=0.20,13,N,
HBA1C3CATF,1,1,1: HbA1c >= 6.5,16,N,
HBA1C3CATF,2,2,2: HbA1c 5.7-6.4,16,N,
HBA1C3CATF,3,3,3: HbA1c <5.7,16,N,
HESCOREF,1,1,1: 0-1,6,N,
HESCOREF,2,2,2: 2-3,6,N,
HESCOREF,3,3,3: 4-7,6,N,
HISPOR2F,1,1,1: PR,13,N,
HISPOR2F,2,2,2: CA,13,N,
HISPOR2F,3,3,3: SA,13,N,
HISPOR2F,4,4,4: DR,13,N,
HISPOR2F,5,5,5: all others,13,N,
HISPOR2F_II,1,1,1:Puerto Rican,20,N,
HISPOR2F_II,2,2,2:Central American,20,N,
HISPOR2F_II,3,3,3:South American,20,N,
HISPOR2F_II,4,4,4:Dominican Republic,20,N,
HISPOR2F_II,5,5,5:All others,20,N,
HISPORGF,1,1,1: Mexican,21,N,
HISPORGF,2,2,2: Puerto Rican,21,N,
HISPORGF,3,3,3: Cuban,21,N,
HISPORGF,4,4,4: Spanish,21,N,
HISPORGF,5,5,5: Central American,21,N,
HISPORGF,6,6,6: South American,21,N,
HISPORGF,7,7,7: Dominican Republic,21,N,
HISPORGF,8,8,8: Other,21,N,
HISPORGF,9,9,9: Two or more,21,N,
HISPORGF_II,1,1,1:Mexican,20,N,
HISPORGF_II,2,2,2:Puerto Rican,20,N,
HISPORGF_II,3,3,3:Cuban,20,N,
HISPORGF_II,4,4,4:Spanish,20,N,
HISPORGF_II,5,5,5:Central American,20,N,
HISPORGF_II,6,6,6:South American,20,N,
HISPORGF_II,7,7,7:Dominican Republic,20,N,
HISPORGF_II,8,8,8:Other,20,N,
HISPORGF_II,9,9,9:Two or more,20,N,
HLDLM,1,1,High (160+) LDL Cholest,23,N,
HLDLM,2,2,LDL Chol <160,23,N,
HLTHLITRCYF,0,0,0: Inadequate,13,N,
HLTHLITRCYF,1,1,1: Marginal,13,N,
HLTHLITRCYF,2,2,2: Adequate,13,N,
HRSSLEEPCATF,1,1,1: <6.5 HR,13,N,
HRSSLEEPCATF,2,2,2: 6.5-8.5 HR,13,N,
HRSSLEEPCATF,3,3,3: >8.5 HR,13,N,
HRSSLEEPCATFB,1,1,1: <6.5 HR,15,N,
HRSSLEEPCATFB,2,2,2: 6.5- <8.0 HR,15,N,
HRSSLEEPCATFB,3,3,3: >8.0 HR,15,N,
ICCAT1F,1,1,0 <= icsi <= 3,15,N,
ICCAT1F,2,2,4 <= icsi <= 6,15,N,
ICCAT1F,3,3,7 <= icsi <= 11,15,N,
ICCAT1F,4,4,icsi >= 12,15,N,
ICCAT1_1F,1,1,0 <= icsi_1 <= 3,17,N,
ICCAT1_1F,2,2,4 <= icsi_1 <= 6,17,N,
ICCAT1_1F,3,3,7 <= icsi_1 <= 11,17,N,
