MEMNAME,MEMLABEL,NAME,TYPE,LENGTH,VARNUM,LABEL,FORMAT,FORMATL,INFORMAT
BACH2PUBLICUSE,,AAG,1,8,1114,"Androstanediol glucoronide (3-alpha-diol G), nmol/L",,7,
BACH2PUBLICUSE,,ABDOMLO_M,1,8,580,PAIN: C18b. Abdomen Lower: most pain,X2505F_II,0,
BACH2PUBLICUSE,,ABDOMLO_S,1,8,579,PAIN: C18a. Abdomen Lower: shaded pain,X2505F_II,0,
BACH2PUBLICUSE,,ABDOM_M,1,8,578,PAIN: C17b. Abdomen Upper: most pain,X2505F_II,0,
BACH2PUBLICUSE,,ABDOM_S,1,8,577,PAIN: C17a. Abdomen Upper: shaded pain,X2505F_II,0,
BACH2PUBLICUSE,,ADADHMSX_1,1,8,708,MSAQ/WSAQ: During adulthood: unwanted /forced sexual experiences: other adult,X2506F_II,0,
BACH2PUBLICUSE,,ADANYONSX_1,1,8,724,MSAQ/WSAQ: During adulthood: unwanted /forced sexual experiences: anyone else,X2506F_II,0,
BACH2PUBLICUSE,,ADBEAT,1,8,1099,"FOSM: PM21a. Hit, kick, or beat you",X2433F_II,0,
BACH2PUBLICUSE,,ADBEAT_1,1,8,1598,MSAQ/WSAQ: During adulthood did any adult: hit/kick/beat you,X2433F_II,0,
BACH2PUBLICUSE,,ADBFGFPEA_1,1,8,767,MSAQ/WSAQ: During adulthood:Hit/kick/beat:boyfriend/girlfriend,X2506F_II,0,
BACH2PUBLICUSE,,ADBFGFPEB_1,1,8,768,MSAQ/WSAQ: During adulthood:seriously threaten life:boyfriend/girlfrien,X2506F_II,0,
BACH2PUBLICUSE,,ADBFGFPEC_1,1,8,769,MSAQ/WSAQ: During adulthood:emotionally abuse:other family member,X2506F_II,0,
BACH2PUBLICUSE,,ADBFGFSX_1,1,8,716,MSAQ/WSAQ: During adulthood: unwanted /forced sexual experiences: boyfriend/girlfriend,X2506F_II,0,
BACH2PUBLICUSE,,ADCAGE_1,1,8,462,FOFC: G5gi. How old were you at the time of surgery:Age,X2311F_II,0,
BACH2PUBLICUSE,,ADCNUM_1,1,8,463,FOFC: G5g1. If Yes: How many,X2311F_II,0,
BACH2PUBLICUSE,,ADC_1,1,8,1706,FOFC: G5g. Have you ever had: A D and C,X2497F_II,0,
BACH2PUBLICUSE,,ADEMLABS,1,8,1101,"FOSM: PM21c. Emotionally abuse, humiliate, or insult you",X2433F_II,0,
BACH2PUBLICUSE,,ADEMLABS_1,1,8,1600,MSAQ/WSAQ: During adulthood did any adult: emotionally abuse you,X2433F_II,0,
BACH2PUBLICUSE,,ADEXORG_1,1,8,1589,MSAQ/WSAQ: During adulthood: Any adult exposed sex organs,X2506F_II,0,
BACH2PUBLICUSE,,ADEXPORG,1,8,1093,FOSM: PM20a. Exposed the sex organ of their body to you,X2506F_II,0,
BACH2PUBLICUSE,,ADFRCSX,1,8,1097,FOSM: PM20e. Forced you to have sex,X2506F_II,0,
BACH2PUBLICUSE,,ADFRCSX_1,1,8,1593,MSAQ/WSAQ: During adulthood: Any adult forced you to have sex,X2506F_II,0,
BACH2PUBLICUSE,,ADGRDPEA_1,1,8,737,MSAQ/WSAQ: During adulthood:Hit/kick/beat: parent/stepparent,X2506F_II,0,
BACH2PUBLICUSE,,ADGRDPEB_1,1,8,738,MSAQ/WSAQ: During adulthood:seriously threaten life: parent/stepparent,X2506F_II,0,
BACH2PUBLICUSE,,ADGRDPEC_1,1,8,739,MSAQ/WSAQ: During adulthood:emotionally abuse:parent/stepparent,X2506F_II,0,
BACH2PUBLICUSE,,ADNEONEPEA_1,1,8,791,MSAQ/WSAQ: During adulthood:Hit/kick/beat:Anyone else,X2506F_II,0,
BACH2PUBLICUSE,,ADNEONEPEB_1,1,8,792,MSAQ/WSAQ: During adulthood:threaten life:Anyone else,X2506F_II,0,
BACH2PUBLICUSE,,ADNEONEPEC_1,1,8,793,MSAQ/WSAQ: During adulthood:emotionally abuse:Anyone else,X2506F_II,0,
BACH2PUBLICUSE,,ADOADDKSX_1,1,8,722,MSAQ/WSAQ: During adulthood: unwanted /forced sexual experiences: adult you dont know,X2506F_II,0,
BACH2PUBLICUSE,,ADOADHPEA_1,1,8,743,MSAQ/WSAQ: During adulthood:Hit/kick/beat: other adult in your home,X2506F_II,0,
BACH2PUBLICUSE,,ADOADHPEB_1,1,8,744,MSAQ/WSAQ: During adulthood:seriously threaten life:Other adult in home,X2506F_II,0,
BACH2PUBLICUSE,,ADOADHPEC_1,1,8,745,MSAQ/WSAQ: During adulthood:emotionally abuse:other adult in your home,X2506F_II,0,
BACH2PUBLICUSE,,ADOADKPEA_1,1,8,785,MSAQ/WSAQ: During adulthood:Hit/kick/beat:other adult you dont know,X2506F_II,0,
BACH2PUBLICUSE,,ADOADKPEB_1,1,8,786,MSAQ/WSAQ: During adulthood:threaten life:other adult you dont know,X2506F_II,0,
BACH2PUBLICUSE,,ADOADKPEC_1,1,8,787,MSAQ/WSAQ: During adulthood:emotionally abuse:adult you dont know,X2506F_II,0,
BACH2PUBLICUSE,,ADOADSX_1,1,8,720,MSAQ/WSAQ: During adulthood: unwanted /forced sexual experiences: other adult you knew,X2506F_II,0,
BACH2PUBLICUSE,,ADOFAMPEA_1,1,8,761,MSAQ/WSAQ: During adulthood:Hit/kick/beat:other family member,X2506F_II,0,
BACH2PUBLICUSE,,ADOFAMPEB_1,1,8,762,MSAQ/WSAQ: During adulthood:seriously threaten life:other family member,X2506F_II,0,
BACH2PUBLICUSE,,ADOFAMPEC_1,1,8,763,MSAQ/WSAQ: During adulthood:emotionally abuse:other family member,X2506F_II,0,
BACH2PUBLICUSE,,ADOFAMSX_1,1,8,714,MSAQ/WSAQ: During adulthood: unwanted /forced sexual experiences: other family member,X2506F_II,0,
BACH2PUBLICUSE,,ADOHUNSX,1,8,1098,FOSM: PM20f. Have you had any other unwanted sexual experiences,X2506F_II,0,
BACH2PUBLICUSE,,ADOHUNSX_1,1,8,1594,MSAQ/WSAQ: During adulthood: Had any unwanted sexual experiences,X2506F_II,0,
BACH2PUBLICUSE,,ADOTADPEA_1,1,8,779,MSAQ/WSAQ: During adulthood:Hit/kick/beat:other adult you knew,X2506F_II,0,
BACH2PUBLICUSE,,ADOTADPEB_1,1,8,780,MSAQ/WSAQ: During adulthood:seriously threaten life:other adult you kne,X2506F_II,0,
BACH2PUBLICUSE,,ADOTADPEC_1,1,8,781,MSAQ/WSAQ: During adulthood:emotionally abuse:other adult you knew,X2506F_II,0,
BACH2PUBLICUSE,,ADPE2YR_1,1,8,732,MSAQ/WSAQ: How many times did this physical/threat/emotional abuse happen in the last 2 years (Batch 1),X2311F_II,0,
BACH2PUBLICUSE,,ADPRTNRPEA_1,1,8,749,MSAQ/WSAQ: During adulthood:Hit/kick/beat: spouse/partner,X2506F_II,0,
BACH2PUBLICUSE,,ADPRTNRPEB_1,1,8,750,MSAQ/WSAQ: During adulthood:seriously threaten life:spouse/partner,X2506F_II,0,
BACH2PUBLICUSE,,ADPRTNRPEC_1,1,8,751,MSAQ/WSAQ: During adulthood:emotionally abuse:spouse/partner,X2506F_II,0,
BACH2PUBLICUSE,,ADRENTSX_1,1,8,706,MSAQ/WSAQ: During adulthood: unwanted /forced sexual experiences: parent/stepparent,X2506F_II,0,
BACH2PUBLICUSE,,ADSIBLINSX_1,1,8,712,MSAQ/WSAQ: During adulthood: unwanted /forced sexual experiences: sibling,X2506F_II,0,
BACH2PUBLICUSE,,ADSIBPEA_1,1,8,755,MSAQ/WSAQ: During adulthood: During adulthood:Hit/kick/beat:sibling,X2506F_II,0,
BACH2PUBLICUSE,,ADSIBPEB_1,1,8,756,MSAQ/WSAQ: During adulthood: During adulthood:seriously threaten life:sibling,X2506F_II,0,
BACH2PUBLICUSE,,ADSIBPEC_1,1,8,757,MSAQ/WSAQ: During adulthood: During adulthood:emotionally abuse:sibling,X2506F_II,0,
BACH2PUBLICUSE,,ADSPOUSESX_1,1,8,710,MSAQ/WSAQ: During adulthood: unwanted /forced sexual experiences: spouse/partner,X2506F_II,0,
BACH2PUBLICUSE,,ADSX2YR_1,1,8,703,MSAQ/WSAQ: How many times did this happen in the last 2 years. Batch 1 capped at 15 times.,,0,
BACH2PUBLICUSE,,ADTCHORG,1,8,1095,FOSM: PM20c. Touched the sex organs of your body,X2506F_II,0,
BACH2PUBLICUSE,,ADTCHORG_1,1,8,1591,MSAQ/WSAQ: During adulthood: Any adult touched your sex organs,X2506F_II,0,
BACH2PUBLICUSE,,ADTEENPEA_1,1,8,773,MSAQ/WSAQ: During adulthood:Hit/kick/beat:other teenager,X2506F_II,0,
BACH2PUBLICUSE,,ADTEENPEB_1,1,8,774,MSAQ/WSAQ: During adulthood:seriously threaten life:other teenager,X2506F_II,0,
BACH2PUBLICUSE,,ADTEENPEC_1,1,8,775,MSAQ/WSAQ: During adulthood:emotionally abuse:other teenager,X2506F_II,0,
BACH2PUBLICUSE,,ADTEENSX_1,1,8,718,MSAQ/WSAQ: During adulthood: unwanted /forced sexual experiences: other teenager,X2506F_II,0,
BACH2PUBLICUSE,,ADTHRLF_1,1,8,1599,MSAQ/WSAQ: During adulthood did any adult: seriously threaten you,X2433F_II,0,
BACH2PUBLICUSE,,ADTHRTLF,1,8,1100,FOSM: PM21b. Seriously threaten your life,X2433F_II,0,
BACH2PUBLICUSE,,ADTHRTSX,1,8,1094,FOSM: PM20b. Threatened to have sex with you,X2506F_II,0,
BACH2PUBLICUSE,,ADTHRTSX_1,1,8,1590,MSAQ/WSAQ: During adulthood: Any adult threathened to have sex,X2506F_II,0,
BACH2PUBLICUSE,,ADYUTCH,1,8,1096,FOSM: PM20d. Made you touch the sex organs of their body,X2506F_II,0,
BACH2PUBLICUSE,,ADYUTCH_1,1,8,1592,MSAQ/WSAQ: During adulthood: Any adult made you touch their sex organs,X2506F_II,0,
BACH2PUBLICUSE,,AIAN,1,8,252,FOIG: L6a. American Indian or Alaska Native,X2506F_II,0,
BACH2PUBLICUSE,,AIDS_1,1,8,1204,FOFB: E1v. Ever told you had: AIDS,X2506F_II,0,
BACH2PUBLICUSE,,ALCOH30DY_1,1,8,501,FOFC: I9. Have you  had an alcoholic drink in the past 30 days?,X2506F_II,0,
BACH2PUBLICUSE,,ALCOHUSE_1,1,8,505,FOFC: I13. Past 10 years has your use of alcoholic beaverages increased,X2411F_II,0,
BACH2PUBLICUSE,,ALLERAGE,1,8,75,FOID: E3fii. How old were you when you were first told,X2311F_II,0,
BACH2PUBLICUSE,,ALLERGY,1,8,838,FOID: E3f. Allergies or eczema,X2511F_II,0,
BACH2PUBLICUSE,,ALLERGY_1,1,8,1206,FOFB: E1x. Ever told you had: Allergies,X2506F_II,0,
BACH2PUBLICUSE,,ALLERTX,1,8,74,FOID: E3fi. Have you ever or are you currently receiving treatment,X2501F_II,0,
BACH2PUBLICUSE,,ALZHEIMERS_1,1,8,1199,FOFB: E1o. Ever told you had: Alzheimers,X2506F_II,0,
BACH2PUBLICUSE,,AMINALNC,1,8,8,INS1: C5a. Race: American Indian or Alaska Native,X2506F_II,0,
BACH2PUBLICUSE,,AMS01_1,1,8,1317,FOFC: H18a. Symptoms : Decline in your feeling of general well being,X2446F_II,0,
BACH2PUBLICUSE,,AMS02_1,1,8,1318,FOFC: H18b. Symptoms : Joint pain muscular ache,X2446F_II,0,
BACH2PUBLICUSE,,AMS03_1,1,8,1319,FOFC: H18c. Symptoms : Excessive Sweating,X2446F_II,0,
BACH2PUBLICUSE,,AMS04_1,1,8,1320,FOFC: H18d. Symptoms : Sleep Problems,X2446F_II,0,
BACH2PUBLICUSE,,AMS05_1,1,8,1321,FOFC: H18e. Symptoms : Increased need for sleep,X2446F_II,0,
BACH2PUBLICUSE,,AMS06_1,1,8,1322,FOFC: H18f. Symptoms : Irritability,X2446F_II,0,
BACH2PUBLICUSE,,AMS07_1,1,8,1323,FOFC: H18g. Symptoms :Nervousness,X2446F_II,0,
BACH2PUBLICUSE,,AMS08_1,1,8,1324,FOFC: H18h. Symptoms : Anxiety,X2446F_II,0,
BACH2PUBLICUSE,,AMS09_1,1,8,1325,FOFC: H18i. Symptoms : Physical Exhaustion/ Lacking Vitality,X2446F_II,0,
BACH2PUBLICUSE,,AMS10_1,1,8,1326,FOFC: H18j. Symptoms : Decrease in muscular strength,X2446F_II,0,
BACH2PUBLICUSE,,AMS11_1,1,8,1327,FOFC: H18k. Symptoms : Depressive mood,X2446F_II,0,
BACH2PUBLICUSE,,AMS12_1,1,8,1328,FOFC: H18l. Symptoms : Feeling that you have passed your peak,X2446F_II,0,
BACH2PUBLICUSE,,AMS13_1,1,8,1329,"FOFC: H18m. Symptoms : Feeling burn't out, having hit rock bottom",X2446F_II,0,
BACH2PUBLICUSE,,AMS14_1,1,8,1330,FOFC: H18q. Symptoms : Decrease in beard growth,X2446F_II,0,
BACH2PUBLICUSE,,AMS15_1,1,8,1331,FOFC: H18o. Symptoms : Decrease in ability to perform sexually,X2446F_II,0,
BACH2PUBLICUSE,,AMS16_1,1,8,1332,FOFC: H18p. Symptoms : Decrease in number of morning erection,X2446F_II,0,
BACH2PUBLICUSE,,AMS17_1,1,8,1333,FOFC: H18n. Symptoms : Decrease in sexual disire/libido,X2446F_II,0,
BACH2PUBLICUSE,,ANDRO,1,8,1115,"Androstenedione, ng/mL",,6,
BACH2PUBLICUSE,,ANEUR,1,8,850,FOID: E3r. Aortic aneurysm,X2511F_II,0,
BACH2PUBLICUSE,,ANEURAGE,1,8,99,FOID: E3rii. How old were you when you were first told,X2311F_II,0,
BACH2PUBLICUSE,,ANEURTX,1,8,98,FOID: E3ri. Have you ever or are you currently receiving treatment,X2501F_II,0,
BACH2PUBLICUSE,,ANGINA,1,8,841,FOID: E3i. Angina pectoris,X2511F_II,0,
BACH2PUBLICUSE,,ANGINA_1,1,8,1208,FOFB: E1z. Ever told you had: Angina pectoris,X2506F_II,0,
