FMTNAME,START,END,LABEL,LENGTH,TYPE,HLO
ACTIV,1,1,<100,7,N,
ACTIV,2,2,100-250,7,N,
ACTIV,3,3,>250,7,N,
AGECAT10F,1,1,1: <35 y,10,N,
AGECAT10F,2,2,2: 35-39 y,10,N,
AGECAT10F,3,3,3: 40-44 y,10,N,
AGECAT10F,4,4,4: 45-49 y,10,N,
AGECAT10F,5,5,5: 50-54 y,10,N,
AGECAT10F,6,6,6: 55-59 y,10,N,
AGECAT10F,7,7,7: 60-64 y,10,N,
AGECAT10F,8,8,8: 65-69 y,10,N,
AGECAT10F,9,9,9: 70-74 y,10,N,
AGECAT10F,10,10,10: 75+ y,10,N,
AGEGRP5F,1,1,1: <40 y,10,N,
AGEGRP5F,2,2,2: 40-49 y,10,N,
AGEGRP5F,3,3,3: 50-59 y,10,N,
AGEGRP5F,4,4,4: 60-69 y,10,N,
AGEGRP5F,5,5,5: 70+ y,10,N,
AGEGRPII,1,1,30-39,5,N,
AGEGRPII,2,2,40-49,5,N,
AGEGRPII,3,3,50-59,5,N,
AGEGRPII,4,4,60-79,5,N,
AGETRES,1,1,<45,5,N,
AGETRES,2,2,45-64,5,N,
AGETRES,3,3,65+,5,N,
AGP,1,1,30-39,5,N,
AGP,2,2,40-49,5,N,
AGP,3,3,50-59,5,N,
AGP,4,4,60-69,5,N,
AGP,5,5,70-79,5,N,
ALCCATF,1,1,1: 0 drinks,18,N,
ALCCATF,2,2,2: <1 drink/day,18,N,
ALCCATF,3,3,3: 1-<3 drinks/day,18,N,
ALCCATF,4,4,4: 3+ drinks/day,18,N,
AUACAT3AF,1,1,1: None/Mild (0-7),18,N,
AUACAT3AF,2,2,2: Moderate (8-19),18,N,
AUACAT3AF,3,3,3: Severe (20+),18,N,
AUACAT3BF,1,1,1: None (0),23,N,
AUACAT3BF,2,2,2: Mild (1-7),23,N,
AUACAT3BF,3,3,3: Moderate/Severe (8+),23,N,
AUACAT4F,1,1,1: None (0),18,N,
AUACAT4F,2,2,2: Mild (1-7),18,N,
AUACAT4F,3,3,3: Moderate (8-19),18,N,
AUACAT4F,4,4,4: Severe (20+),18,N,
BATCH_2CATF,1,1,2006,9,N,
BATCH_2CATF,2,2,2007-2010,9,N,
BMICF,1,1,1: Normal (<25),23,N,
BMICF,2,2,2: Overweight (25-29.9),23,N,
BMICF,3,3,3: Obese (30+),23,N,
BMIGP,1,1,<25,5,N,
BMIGP,2,2,25-29,5,N,
BMIGP,3,3,>=30,5,N,
CAPCAT,1,1,1:<=$6K,13,N,
CAPCAT,2,2,2:$6K+ to 30K,13,N,
CAPCAT,3,3,3:>$30k,13,N,
CATCOUNT,1,1,None,4,N,
CATCOUNT,2,2,1,4,N,
CATCOUNT,3,3,2,4,N,
CATCOUNT,4,4,3+,4,N,
CATCOUNTII,1,1,None,4,N,
CATCOUNTII,2,2,1-2,4,N,
CATCOUNTII,3,3,3+,4,N,
CATCOUNTIII,1,1,None,4,N,
CATCOUNTIII,2,2,1-4,4,N,
CATCOUNTIII,3,3,5+,4,N,
CHOLSTAT,1,1,Treated,15,N,
CHOLSTAT,2,2,Untreated,15,N,
CHOLSTAT,3,3,No Dyslipidemia,15,N,
COMMCRF,1,1,Free care,15,N,
COMMCRF,2,2,Subsidized care,15,N,
COMMCRF,3,3,No subsidy,15,N,
CPSI_SYMPTOMF,1,1,0 <= cpsi_pu < 9.5,21,N,
CPSI_SYMPTOMF,2,2,9.5 <= cpsi_pu < 18.5,21,N,
CPSI_SYMPTOMF,3,3,cpsi_pu >= 18.5,21,N,
CVDDIAB,1,1,CVD,19,N,
CVDDIAB,2,2,Diabetes (any type),19,N,
CVDDIAB,3,3,Neither,19,N,
DRKCAT,1,1,None,7,N,
DRKCAT,2,2,<1/day,7,N,
DRKCAT,3,3,1-3/day,7,N,
DRKCAT,4,4,3+/day,7,N,
DZBIG,1,1,Any HBP CVD DIABEVER,20,N,
DZBIG,2,2,None,20,N,
DZCAT,1,1,None,9,N,
DZCAT,2,2,1 comorb,9,N,
DZCAT,3,3,2 comorb,9,N,
DZCAT,4,4,3+ comorb,9,N,
DZCATD,1,1,None,9,N,
DZCATD,2,2,1 comorb,9,N,
DZCATD,3,3,2 comorb,9,N,
DZCATD,4,4,3+ comorb,9,N,
DZCATF,1,1,None,9,N,
DZCATF,2,2,1 comorb,9,N,
DZCATF,3,3,2 comorb,9,N,
DZCATF,4,4,3+ comorb,9,N,
DZCATP,1,1,None,9,N,
DZCATP,2,2,1 comorb,9,N,
DZCATP,3,3,2+ comorb,9,N,
EDCCATF,1,1,1: IIEF-5 22+,15,N,
EDCCATF,2,2,2: IIEF-5 17-21,15,N,
EDCCATF,3,3,3: IIEF-5 <17,15,N,
ELECTDEV_1F,1,1,No,8,N,
ELECTDEV_1F,2,2,Yes,8,N,
ELECTDEV_1F,3,3,Not sure,8,N,
