FMTNAME,START,END,LABEL,MIN,MAX,DEFAULT,LENGTH,FUZZ,PREFIX,MULT,FILL,NOEDIT,TYPE,SEXCL,EEXCL,HLO,DECSEP,DIG3SEP,DATATYPE,LANGUAGE
ABDIMG,0,0,No,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
ABDIMG,1,1,Yes,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
ABNORIMA,0,0,No,1,40,7,7,1E-12,,0,,0,N,N,N,,,,,
ABNORIMA,1,1,Yes,1,40,7,7,1E-12,,0,,0,N,N,N,,,,,
ABNORIMA,99,99,Unknown,1,40,7,7,1E-12,,0,,0,N,N,N,,,,,
ACAKP,1,1,Yes,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ACAKP,97,97,Not done,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ACALBUN,1,1,Yes,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ACALBUN,97,97,Not done,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ACALBUNT,1,1,g/dL,1,40,4,4,1E-12,,0,,0,N,N,N,,,,,
ACALBUNT,9,9,g/L,1,40,4,4,1E-12,,0,,0,N,N,N,,,,,
ACALT,1,1,Yes,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ACALT,97,97,Not done,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ACAST,1,1,Yes,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ACAST,97,97,Not done,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ACBLOOD,0,0,No,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
ACBLOOD,1,1,Yes,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
ACDILI,0,0,No,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
ACDILI,1,1,Yes,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
ACINR,1,1,Yes,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ACINR,97,97,Not done,1,40,8,8,1E-12,,0,,0,N,N,N,,,,,
ACLVISIT,1,1,Initial Study Visit,1,40,19,19,1E-12,,0,,0,N,N,N,,,,,
ACLVISIT,2,2,Day 3,1,40,19,19,1E-12,,0,,0,N,N,N,,,,,
ACLVISIT,3,3,Week 1,1,40,19,19,1E-12,,0,,0,N,N,N,,,,,
ACLVISIT,4,4,Week 4,1,40,19,19,1E-12,,0,,0,N,N,N,,,,,
ACLVISIT,5,5,Week 12,1,40,19,19,1E-12,,0,,0,N,N,N,,,,,
ACMCONT,1,1,Continuing,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
ACMCONT,2,2,Stop Date:,1,40,10,10,1E-12,,0,,0,N,N,N,,,,,
ACNCHXYN,0,0,No,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
ACNCHXYN,1,1,Yes,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
ACNMHXYN,0,0,No,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
ACNMHXYN,1,1,Yes,1,40,3,3,1E-12,,0,,0,N,N,N,,,,,
ACRADM,1,1,Date of Admission,1,40,17,17,1E-12,,0,,0,N,N,N,,,,,
ACRADM,96,96,Not Applicable,1,40,17,17,1E-12,,0,,0,N,N,N,,,,,
ACRDSC,1,1,Continuing,1,72,72,72,1E-12,,0,,0,N,N,N,,,,,
ACRDSC,2,2,"If continuing is checked, update discharge on the last record when known",1,72,72,72,1E-12,,0,,0,N,N,N,,,,,
ACRDSC,96,96,Not Applicable,1,72,72,72,1E-12,,0,,0,N,N,N,,,,,
ACRVISIT,1,1,Initial Study Visit,1,40,19,19,1E-12,,0,,0,N,N,N,,,,,
