MEMNAME,MEMLABEL,NAME,TYPE,LENGTH,VARNUM,LABEL,FORMAT,FORMATL,INFORMAT
ABDIMAGE_PRO,,ABDIMG,1,8,6,Were abdominal imaging studies performed,ABDIMG,0,
ABDIMAGE_PRO,,DEIDNUM,1,8,1,Deidentified Subject Number,,0,
ABDIMAGE_PRO,,STUDY,2,13,2,Prospective or Retrospective Study,,0,
ABDIMAGE_PRO,,UNIQUEID,1,8,3,unique deidnum across both protocol,,0,
ABDIMAGE_PRO,,VISIT,2,63,4,Inform visit name,,0,
ABDIMAGE_PRO,,VISITID,1,8,5,Inform generated visit number,,0,
ABDIMAGE_RET,,ABDIMG,1,8,6,Were abdominal imaging studies performed,ABDIMG,0,
ABDIMAGE_RET,,DEIDNUM,1,8,1,Deidentified Subject Number,,0,
ABDIMAGE_RET,,STUDY,2,13,2,Prospective or Retrospective Study,,0,
ABDIMAGE_RET,,UNIQUEID,1,8,3,unique deidnum across both protocol,,0,
ABDIMAGE_RET,,VISIT,2,63,4,Inform visit name,,0,
ABDIMAGE_RET,,VISITID,1,8,5,Inform generated visit number,,0,
ACLABFLW_PRO,,ACAKP,1,8,6,Alkaline Phosphatase results Available?,ACAKP,0,
ACLABFLW_PRO,,ACAKPULN,1,8,11,Alkaline Phosphatase ULN,,0,
ACLABFLW_PRO,,ACAKPVAL,1,8,16,Alkaline Phosphatase results,,0,
ACLABFLW_PRO,,ACALBUN,1,8,13,Serum Albumin results Available?,ACALBUN,0,
ACLABFLW_PRO,,ACALBUNT,1,8,22,Serum Albumin results unit,ACALBUNT,0,
ACLABFLW_PRO,,ACALBVAL,1,8,9,Serum Albumin results,,0,
ACLABFLW_PRO,,ACALT,1,8,17,ALT results Available?,ACALT,0,
ACLABFLW_PRO,,ACALTULN,1,8,23,ALT ULN,,0,
ACLABFLW_PRO,,ACALTVAL,1,8,18,ALT results,,0,
ACLABFLW_PRO,,ACAST,1,8,20,AST results Available?,ACAST,0,
ACLABFLW_PRO,,ACASTULN,1,8,8,AST ULN,,0,
ACLABFLW_PRO,,ACASTVAL,1,8,12,AST result,,0,
ACLABFLW_PRO,,ACINR,1,8,10,INR results Available?,ACINR,0,
ACLABFLW_PRO,,ACINRATE,1,8,24,INR results,,0,
ACLABFLW_PRO,,ACLABDT,1,8,27,Studyday of Date of Acute Lab,,0,
ACLABFLW_PRO,,ACLABFL,1,8,26,Imputed flag: Date of Acute Lab,,0,
ACLABFLW_PRO,,ACLABTM,1,8,25,Time of Acute Lab,TIME,5,
ACLABFLW_PRO,,ACLVISIT,1,8,19,Visit,ACLVISIT,0,
ACLABFLW_PRO,,ACSTB,1,8,14,Serum Total Bilirubin results Available?,ACSTB,0,
ACLABFLW_PRO,,ACSTBULN,1,8,7,Serum Total Bilirubin ULN,,0,
ACLABFLW_PRO,,ACSTBUNT,1,8,21,Serum Total Bilirubin results unit,ACSTBUNT,0,
ACLABFLW_PRO,,ACSTBVAL,1,8,15,Serum Total Bilirubin results,,0,
ACLABFLW_PRO,,DEIDNUM,1,8,1,Deidentified Subject Number,,0,
ACLABFLW_PRO,,STUDY,2,13,2,Prospective or Retrospective Study,,0,
ACLABFLW_PRO,,UNIQUEID,1,8,3,unique deidnum across both protocol,,0,
ACLABFLW_PRO,,VISIT,2,63,4,Inform visit name,,0,
ACLABFLW_PRO,,VISITID,1,8,5,Inform generated visit number,,0,
ACLABFLW_RET,,ACAKP,1,8,6,Alkaline Phosphatase results Available?,ACAKP,0,
ACLABFLW_RET,,ACAKPULN,1,8,11,Alkaline Phosphatase ULN,,0,
ACLABFLW_RET,,ACAKPVAL,1,8,16,Alkaline Phosphatase results,,0,
ACLABFLW_RET,,ACALBUN,1,8,13,Serum Albumin results Available?,ACALBUN,0,
ACLABFLW_RET,,ACALBUNT,1,8,22,Serum Albumin results unit,ACALBUNT,0,
ACLABFLW_RET,,ACALBVAL,1,8,9,Serum Albumin results,,0,
ACLABFLW_RET,,ACALT,1,8,17,ALT results Available?,ACALT,0,
ACLABFLW_RET,,ACALTULN,1,8,23,ALT ULN,,0,
ACLABFLW_RET,,ACALTVAL,1,8,18,ALT results,,0,
ACLABFLW_RET,,ACAST,1,8,20,AST results Available?,ACAST,0,
ACLABFLW_RET,,ACASTULN,1,8,8,AST ULN,,0,
ACLABFLW_RET,,ACASTVAL,1,8,12,AST result,,0,
ACLABFLW_RET,,ACINR,1,8,10,INR results Available?,ACINR,0,
ACLABFLW_RET,,ACINRATE,1,8,24,INR results,,0,
ACLABFLW_RET,,ACLABDT,1,8,27,Studyday of Date of Acute Lab,,0,
ACLABFLW_RET,,ACLABFL,1,8,26,Imputed flag: Date of Acute Lab,,0,
ACLABFLW_RET,,ACLABTM,1,8,25,Time of Acute Lab,TIME,5,
ACLABFLW_RET,,ACLVISIT,1,8,19,Visit,ACLVISIT,0,
ACLABFLW_RET,,ACSTB,1,8,14,Serum Total Bilirubin results Available?,ACSTB,0,
ACLABFLW_RET,,ACSTBULN,1,8,7,Serum Total Bilirubin ULN,,0,
ACLABFLW_RET,,ACSTBUNT,1,8,21,Serum Total Bilirubin results unit,ACSTBUNT,0,
ACLABFLW_RET,,ACSTBVAL,1,8,15,Serum Total Bilirubin results,,0,
ACLABFLW_RET,,DEIDNUM,1,8,1,Deidentified Subject Number,,0,
